TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,18889,INE907A01026,KSL,EQ,,,,,KALYANI STEELS LIMITED,912.55,934,879,890.05,889,921.7,,890.1,,,249891,225223406.8,19278,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1826,INE967C01018,KAMATHOTEL,EQ,,,,,KAMAT HOTELS (I) LTD,236.01,255,236.01,238.92,239.4,241.9,,238.93,,,377067,92238164.74,6157,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13457,INE390H01020,KAMDHENU,EQ,,,,,KAMDHENU LIMITED,30.53,31.5,29,30.18,30.4,29.28,,30.18,,,2547227,77818828.12,9262,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,13817,INE0BTI01037,KAMOPAINTS,BE,,,,,KAMDHENU VENTURES LIMITED,9.5,9.6,9.2,9.42,9.48,9.53,,9.42,,,122854,1159190.97,454,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,25786,INE879E01037,KANANIIND,EQ,,,,,KANANI INDUSTRIES LTD,1.99,2.03,1.97,2.01,2.02,2.01,,2.01,,,131101,262696.34,272,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,11208,INE0MOT01016,KANDARP,SM,,,,,KANDARP DG SMART BPO LTD,82,83.6,79.2,83.55,83.55,82.65,,83.55,,,28000,2305100,12,F1,2000,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1835,INE138C01024,KANORICHEM,EQ,,,,,KANORIA CHEMICALS & INDUS,91.5,92.5,89.4,89.99,90,91.96,,89.98,,,9390,853509.29,340,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1788,INE694E01014,KANPRPLA,BE,,,,,KANPUR PLASTIPACK LIMITED,205,205,196.61,200.79,203.5,205.17,,200.79,,,22812,4612334.84,90,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1196,INE531A01024,KANSAINER,EQ,,,,,KANSAI NEROLAC PAINTS LTD,243.6,246.15,240.85,244.9,245.4,245.6,,244.9,,,166303,40547281,8666,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,18967,INE542Z01028,KAPSTON,EQ,,,,,KAPSTON SERVICES LIMITED,239.98,241.99,235.79,241.88,241.99,238.38,,241.88,,,2956,712024.31,143,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,24389,INE725L01011,KARMAENG,BE,,,,,KARMA ENERGY LIMITED,62.12,62.12,60.13,60.61,60.61,62.12,,60.63,,,3513,213926.47,52,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,8054,INE614B01018,KTKBANK,EQ,,,,,KARNATAKA BANK LIMITED,181.1,181.59,179.7,180.66,180.8,182.11,,180.66,,,891240,161034285.6,22907,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,19465,INE0MGA01012,KARNIKA,SM,,,,,KARNIKA INDUSTRIES LTD,739,739,704,719.55,718,697.65,,719.55,,,7600,5433630,37,F1,200,,,,,
