priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,Index
"0","JSWSTEEL","JSWSTEELEQN","1131.9","1142.7","1112","1136.5","1109.6","26.9","2.42","1064728346919.87","1284.7","905.2","1218013","0","1375489900.77","","11.53576710516074","-25.552364118426862","7.08","-9.41","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/JSWSTEELEQN.svg","https://nsearchives.nseindia.com/30d/JSWSTEEL-EQ.svg","https://nsearchives.nseindia.com/365d/JSWSTEEL-EQ.svg","NIFTY 50"
"0","NESTLEIND","NESTLEINDEQN","1180","1195.1","1163.2","1186.7","1166.8","19.9","1.71","848492392818.68","1340.4","1074","1001494","0","1185147969.72","","11.466726350343183","-10.49348230912477","4.85","-10.1","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/NESTLEINDEQN.svg","https://nsearchives.nseindia.com/30d/NESTLEIND-EQ.svg","https://nsearchives.nseindia.com/365d/NESTLEIND-EQ.svg","NIFTY 50"
"0","CIPLA","CIPLAEQN","1235","1240","1216.6","1220","1221.8","-1.8","-0.15","684506285686.68","1673","1216.6","853054","0","1044556092.46","","27.077106993424984","-0.2794673680749705","-19.95","-8.04","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/CIPLAEQN.svg","https://nsearchives.nseindia.com/30d/CIPLA-EQ.svg","https://nsearchives.nseindia.com/365d/CIPLA-EQ.svg","NIFTY 50"
"1","NIFTY NEXT 50","NIFTY NEXT 50","62668.15","62876.2","61349.35","62360.7","61414.9","945.7999999999956","1.54","240263088.7","70833.65","57250.25","335152712","0","126155229142.39","24-Mar-2026 16:00:00","11.961758288610001","-8.926511237942186","-2.01","-10.63","21-Mar-2025","20-Feb-2026","https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg","https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg","https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg","NIFTY NEXT 50"
"0","VEDL","VEDLEQN","664","664","643.55","653","645.75","7.25","1.12","1104700756453.24","769.8","363","14286858","0","9313745598.78","","15.172772148610024","-79.88980716253444","38.27","-6.06","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/VEDLEQN.svg","https://nsearchives.nseindia.com/30d/VEDL-EQ.svg","https://nsearchives.nseindia.com/365d/VEDL-EQ.svg","NIFTY NEXT 50"
"0","LODHA","LODHAEQN","740","742","715.45","726","727.9","-1.9","-0.26","203698764732.36","1531","715.45","11500326","0","8371202298.66","","52.580013063357285","-1.4745964078551896","-40.33","-30.25","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/LODHAEQN.svg","https://nsearchives.nseindia.com/30d/LODHA-EQ.svg","https://nsearchives.nseindia.com/365d/LODHA-EQ.svg","NIFTY NEXT 50"
"0","BPCL","BPCLEQN","280","283","270.7","282.35","271.3","11.05","4.07","545760338810.81","391.65","262","19542984","0","5413015708.32","","27.90757053491637","-7.7671755725190925","0.68","-24.6","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BPCLEQN.svg","https://nsearchives.nseindia.com/30d/BPCL-EQ.svg","https://nsearchives.nseindia.com/365d/BPCL-EQ.svg","NIFTY NEXT 50"
"0","PFC","PFCEQN","408.45","409.65","395.55","399","398","1","0.25","579355331060.78","444.1","329.9","12403753","0","4962369462.71","","10.155370412069358","-20.94574113367688","-6.23","-4.86","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/PFCEQN.svg","https://nsearchives.nseindia.com/30d/PFC-EQ.svg","https://nsearchives.nseindia.com/365d/PFC-EQ.svg","NIFTY NEXT 50"
"0","HAL","HALEQN","3700","3723.3","3620.7","3656.3","3634.6","21.7","0.6","691815211561","5165","3610","1309461","0","4799842390.11","","29.21006776379477","-1.2825484764542987","-11.47","-7.5","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HALEQN.svg","https://nsearchives.nseindia.com/30d/HAL-EQ.svg","https://nsearchives.nseindia.com/365d/HAL-EQ.svg","NIFTY NEXT 50"
"0","TVSMOTOR","TVSMOTOREQN","3458.5","3500.7","3410.6","3488","3412.5","75.5","2.21","4083451887158.51","3970","2221.1","1302031","0","4509245840.44","","12.141057934508817","-57.03930484894873","42.68","-8.6","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TVSMOTOREQN.svg","https://nsearchives.nseindia.com/30d/TVSMOTOR-EQ.svg","https://nsearchives.nseindia.com/365d/TVSMOTOR-EQ.svg","NIFTY NEXT 50"
